s,n,i,m
AFG,American Financial Group,Insurance - Property & Casualty,10173011093
AFIB,Acutus Medical,Medical Devices,25498616
AFL,Aflac,Insurance - Life,42320059640
AFMD,Affimed,Biotechnology,83779183
AFRI,Forafric Global,Farm Products,301314711
AFRM,Affirm Holdings,Software - Infrastructure,4012553877
AFTR,AfterNext HealthTech Acquisition,Shell Companies,323750363
AFYA,Afya Limited,Education & Training Services,1373976204
AG,First Majestic Silver,Silver,1534410280
AGAC,African Gold Acquisition,Shell Companies,165136504
AGAE,Allied Gaming & Entertainment,Entertainment,38146062
AGBA,AGBA Acquisition,Shell Companies,86105733
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,9789242792
AGE,AgeX Therapeutics,Biotechnology,30702602
AGEN,Agenus,Biotechnology,572156640
AGFY,Agrify,Engineering & Construction,4592949
AGI,Alamos Gold,Gold,4583964597
AGIL,AgileThought,Software - Application,41670270
AGIO,Agios Pharmaceuticals,Biotechnology,1482895744
AGL,agilon health,Medical Care Facilities,6861337688
AGLE,Aeglea BioTherapeutics,Biotechnology,37636224
AGM,Federal Agricultural Mortgage,Credit Services,1487684391
AGM.A,Federal Agricultural Mortgage,Credit Services,1475114200
AGMH,AGM Group Holdings,Software - Application,45113928
AGNC,AGNC Investment,REIT - Mortgage,5814149120
AGO,Assured Guaranty,Insurance - Specialty,3353958972
AGR,Avangrid,Utilities - Regulated Electric,14139543148
AGRI,AgriFORCE Growing Systems,Farm Products,3444887
AGRO,Adecoagro,Farm Products,1033372800
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,3403631
AGS,PlayAGS,Gambling,207026274
AGTI,Agiliti,Health Information Services,2252350728
AGX,Argan,Engineering & Construction,526634262
AGYS,Agilysys,Software - Application,1678516625
AHCO,AdaptHealth,Medical Devices,1644948720
AHG,Akso Health Group,Credit Services,8100908
AHH,Armada Hoffler Properties,REIT - Diversified,1052253134
AHI,Advanced Human Imaging,Software - Application,131636190
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,143346656
AI,C3.ai,Information Technology Services,4400435250
AIB,AIB Acquisition,Shell Companies,39296980
AIG,American International Group,Insurance - Diversified,42122425997
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,42112760
AIHS,Senmiao Technology,Credit Services,3927833
AIM,AIM ImmunoTech,Biotechnology,32777862
AIMAU,Aimfinity Investment I,Shell Companies,108711350.00000001
AIMD,Ainos,Biotechnology,13629816
AIN,Albany International,Textile Manufacturing,2814240000
AINC,Ashford,Asset Management,30922356
AIP,Arteris,Semiconductors,244044720
AIR,AAR Corp.,Aerospace & Defense,1990782048
AIRC,Apartment Income REIT,REIT - Residential,5375676000
AIRG,Airgain,Communication Equipment,53389449
AIRI,Air Industries Group,Aerospace & Defense,11485642
AIRS,AirSculpt Technologies,Medical Care Facilities,480488661
AIRT,Air T,Integrated Freight & Logistics,70331040
AIT,Applied Industrial Technologies,Industrial Distribution,5548409514
AIU,Meta Data,Education & Training Services,20494030351
AIV,Apartment Investment and Management Company,REIT - Residential,1258777520
AIXI,Xiao-I,Software - Application,112126051.44000001
AIZ,Assurant,Insurance - Specialty,6689660376
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,45859356300
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,4457083470
AJX,Great Ajax,REIT - Mortgage,158897180
AKA,a.k.a. Brands Holding,Internet Retail,51658111
AKAM,Akamai Technologies,Software - Infrastructure,13663173540
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,2684390
AKBA,Akebia Therapeutics,Biotechnology,189646560
AKLI,Akili,Health Information Services,93006230
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2223478528
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2450043860
AKR,Acadia Realty Trust,REIT - Retail,1517363554
AKRO,Akero Therapeutics,Biotechnology,2534519892
AKTS,Akoustis Technologies,Communication Equipment,202025364
AKTX,Akari Therapeutics,Biotechnology,18089652
AKU,Akumin,Diagnostics & Research,15384744
AKYA,Akoya Biosciences,Medical Instruments & Supplies,342038424
AL,Air Lease,Rental & Leasing Services,4589360100
ALAR,Alarum Technologies,Software - Infrastructure,8623274
ALB,Albemarle,Specialty Chemicals,27869646720
ALBT,Avalon GloboCare,Real Estate Services,14437413
ALC,Alcon,Medical Instruments & Supplies,39688260000
ALCC,AltC Acquisition,Shell Companies,671475000
ALCO,Alico,Farm Products,193247878
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,133690750
ALDX,Aldeyra Therapeutics,Biotechnology,483346862
ALE,ALLETE,Utilities - Diversified,3243523758
ALEC,Alector,Biotechnology,513447088
ALEX,Alexander & Baldwin,REIT - Diversified,1340807486
ALG,Alamo Group,Farm & Heavy Construction Machinery,2161740130
ALGM,Allegro MicroSystems,Semiconductors,8453351468
ALGN,Align Technology,Medical Devices,26474585838
ALGS,Aligos Therapeutics,Biotechnology,41660486
ALGT,Allegiant Travel Company,Airlines,2275060050
ALHC,Alignment Healthcare,Healthcare Plans,1060590660
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,25536617
ALIT,Alight,Software - Application,5151972001
ALK,Alaska Air Group,Airlines,6875216250
ALKS,Alkermes,Biotechnology,4963695241
ALKT,Alkami Technology,Software - Application,1468190970
ALL,The Allstate Corporation,Insurance - Property & Casualty,28458986040
ALLE,Allegion,Security & Protection Services,10271295560
ALLG,Allego,Auto Parts,778920013
ALLK,Allakos,Biotechnology,383462147
ALLO,Allogene Therapeutics,Biotechnology,790463640
ALLR,Allarity Therapeutics,Biotechnology,1777584
ALLT,Allot,Software - Infrastructure,112276200
ALLY,Ally Financial,Credit Services,8010863017
ALNY,Alnylam Pharmaceuticals,Biotechnology,23993669680
ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,76428121
ALOT,AstroNova,Computer Hardware,102364536
ALPA,Alpha Healthcare Acquisition Corp. III,Shell Companies,203027620
ALPN,Alpine Immune Sciences,Biotechnology,485893554
ALPP,Alpine 4 Holdings,Metal Fabrication,42307438
ALPS,Alpine Summit Energy Partners,Oil & Gas E&P,15168868
ALRM,Alarm.com Holdings,Software - Application,2596134346
ALRN,Aileron Therapeutics,Biotechnology,9054639
ALRS,Alerus Financial,Banks - Regional,357791044
ALSA,Alpha Star Acquisition,Shell Companies,158225800
ALSN,Allison Transmission Holdings,Auto Parts,5160098184
ALT,Altimmune,Biotechnology,168610526
ALTG,Alta Equipment Group,Rental & Leasing Services,536339417
ALTI,AlTi Global,Asset Management,918386496
ALTO,Alto Ingredients,Specialty Chemicals,251834068
ALTR,Altair Engineering,Software - Infrastructure,5895940045
ALTU,Altitude Acquisition,Shell Companies,88788132
ALV,Autoliv,Auto Parts,7510107500
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,2300486020
ALVR,AlloVir,Biotechnology,388621847
ALX,Alexander's,REIT - Retail,934736216
ALXO,ALX Oncology Holdings,Biotechnology,260193438
ALYA,Alithya Group,Information Technology Services,160243678
ALZN,Alzamend Neuro,Biotechnology,49695581
AM,Antero Midstream,Oil & Gas Midstream,5516044000
AMAL,Amalgamated Financial,Banks - Regional,493768334
AMAM,Ambrx Biopharma,Biotechnology,918535410
AMAO,American Acquisition Opportunity,Shell Companies,33431637
AMAT,Applied Materials,Semiconductor Equipment & Materials,117203489907
AMBA,Ambarella,Semiconductor Equipment & Materials,3207398376
AMBC,Ambac Financial Group,Insurance - Specialty,646743513
AMBI,Ambipar Emergency Response,Waste Management,537670011
AMBO,Ambow Education Holding,Education & Training Services,6066307
AMBP,Ardagh Metal Packaging,Packaging & Containers,2290340000
AMC,AMC Entertainment Holdings,Entertainment,3915260945
AMCR,Amcor,Packaging & Containers,14626113600
AMCX,AMC Networks,Entertainment,554270540
AMD,Advanced Micro Devices,Semiconductors,182244448443
AME,AMETEK,Specialty Industrial Machinery,36203014257
AMED,Amedisys,Medical Care Facilities,2973505282
AMEH,Apollo Medical Holdings,Medical Care Facilities,1491796799
AMG,Affiliated Managers Group,Asset Management,5425393532
AMGN,Amgen,Drug Manufacturers - General,116830600299
AMH,American Homes 4 Rent,REIT - Residential,14898635093
AMK,AssetMark Financial Holdings,Asset Management,2157847398
AMKR,Amkor Technology,Semiconductors,7176861306
AMLI,American Lithium,Other Industrial Metals & Mining,430058912
AMLX,Amylyx Pharmaceuticals,Biotechnology,1368377076
AMN,AMN Healthcare Services,Medical Care Facilities,4322527059
AMNB,American National Bankshares,Banks - Regional,305908145
AMOT,Allied Motion Technologies,Electronic Components,613788847
AMP,Ameriprise Financial,Asset Management,35017900980
AMPE,Ampio Pharmaceuticals,Biotechnology,3775725
AMPG,AmpliTech Group,Communication Equipment,21876240
AMPH,Amphastar Pharmaceuticals,Drug Manufacturers - Specialty & Generic,2699482080
AMPL,Amplitude,Software - Application,1254446418
AMPS,Altus Power,Utilities - Renewable,925321800
AMPX,Amprius Technologies,Electrical Equipment & Parts,613063068
AMPY,Amplify Energy,Oil & Gas E&P,266174662
AMR,Alpha Metallurgical Resources,Coking Coal,2314134300
AMRC,Ameresco,Engineering & Construction,2423123886
AMRK,A-Mark Precious Metals,Capital Markets,852268384
AMRN,Amarin Corporation,Biotechnology,464869200
AMRS,Amyris,Specialty Chemicals,406324582
AMRX,Amneal Pharmaceuticals,Drug Manufacturers - Specialty & Generic,956071067
AMS,American Shared Hospital Services,Medical Care Facilities,15807173
AMSC,American Superconductor,Specialty Industrial Machinery,185267204
AMSF,AMERISAFE,Insurance - Specialty,1015800864
AMST,Amesite,Software - Application,10133440
AMSWA,American Software,Software - Application,347927799
AMT,American Tower,REIT - Specialty,91134710214
AMTB,Amerant Bancorp,Banks - Regional,533633648
AMTD,AMTD IDEA Group,Asset Management,3536550806
AMTI,Applied Molecular Transport,Biotechnology,12981507
AMTX,Aemetis,Oil & Gas Refining & Marketing,278107926
AMWD,American Woodmark,Furnishings,1192380246
AMWL,American Well,Health Information Services,556120604
AMX,América Móvil,Telecom Services,68191801518
AMZN,Amazon.com,Internet Retail,1331594728612
AN,AutoNation,Auto & Truck Dealerships,7814543256
ANAB,AnaptysBio,Biotechnology,535306312
ANDE,The Andersons,Food Distribution,1574628432
ANEB,Anebulo Pharmaceuticals,Biotechnology,61291545
ANET,Arista Networks,Computer Hardware,48410411264
ANF,Abercrombie & Fitch Co.,Apparel Retail,1779310100
ANGH,Anghami,Entertainment,28606270
ANGI,Angi Inc.,Internet Content & Information,1646342747
ANGO,AngioDynamics,Medical Instruments & Supplies,367469199
ANIK,Anika Therapeutics,Medical Devices,366716420
ANIP,ANI Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1048232801
ANIX,Anixa Biosciences,Biotechnology,91997829
ANNX,Annexon,Biotechnology,186855328
ANSS,ANSYS,Software - Application,27746347140
ANTE,AirNet Technology,Telecom Services,11558856
ANTX,AN2 Therapeutics,Biotechnology,172313055
ANVS,Annovis Bio,Biotechnology,123460332
ANY,Sphere 3D,Software - Application,25387630
ANZU,Anzu Special Acquisition Corp I,Shell Companies,153112440
AOGO,Arogo Capital Acquisition,Shell Companies,80535641
AOMR,Angel Oak Mortgage,REIT - Mortgage,199283193
AON,Aon plc,Insurance Brokers,68506150860
AORT,Artivion,Medical Devices,681760207
AOS,A. O. Smith,Specialty Industrial Machinery,10627222244
AOSL,Alpha and Omega Semiconductor,Semiconductors,863972984
AOUT,American Outdoor Brands,Leisure,112013850
AP,Ampco-Pittsburgh,Metal Fabrication,61897165
APA,APA Corporation,Oil & Gas E&P,10773191369
APAC,StoneBridge Acquisition,Shell Companies,86923907
APAM,Artisan Partners Asset Management,Asset Management,2636202050
APCA,AP Acquisition,Shell Companies,232443739
APCX,AppTech Payments,Software - Infrastructure,35601984
APD,Air Products and Chemicals,Specialty Chemicals,63713763615
APDN,Applied DNA Sciences,Diagnostics & Research,16910135
APEI,American Public Education,Education & Training Services,85935210
APG,APi Group,Engineering & Construction,6211975119
APGB,Apollo Strategic Growth Capital II,Shell Companies,363907035
APGN,Apexigen,Biotechnology,10364592
APH,Amphenol,Electronic Components,49780572773
API,Agora,Software - Application,309311490
APLD,Applied Digital,Capital Markets,803362644
APLE,Apple Hospitality REIT,REIT - Hotel & Motel,3499318518
APLM,Apollomics,Biotechnology,71031607.25
APLS,Apellis Pharmaceuticals,Biotechnology,10025783130
APLT,Applied Therapeutics,Biotechnology,78675048
APM,Aptorum Group,Biotechnology,11063116
APMI,AxonPrime Infrastructure Acquisition,Shell Companies,192750000
APO,Apollo Global Management,Asset Management,43128380472
APOG,Apogee Enterprises,Building Products & Equipment,1054426176
APP,AppLovin,Software - Application,9042154936
APPF,AppFolio,Software - Application,6093621748
APPH,AppHarvest,Farm Products,65921322
APPN,Appian,Software - Infrastructure,3472969072
APPS,Digital Turbine,Software - Application,930865042
APRE,Aprea Therapeutics,Biotechnology,10777894
APRN,Blue Apron Holdings,Internet Retail,34487343
APT,Alpha Pro Tech,Building Products & Equipment,47655862
APTM,Alpha Partners Technology Merger,Shell Companies,375884215
APTO,Aptose Biosciences,Biotechnology,28914889
APTV,Aptiv,Auto Parts,29092918579
APVO,Aptevo Therapeutics,Biotechnology,11541462
APWC,Asia Pacific Wire & Cable Corporation,Electrical Equipment & Parts,37109160
APXI,APx Acquisition I,Shell Companies,117060207
APYX,Apyx Medical,Medical Devices,175144310
AQB,AquaBounty Technologies,Farm Products,25748627
AQMS,Aqua Metals,Waste Management,99765360
AQN,Algonquin Power & Utilities,Utilities - Renewable,5419793739
AQST,Aquestive Therapeutics,Drug Manufacturers - Specialty & Generic,92831184
AQU,Aquaron Acquisition,Shell Companies,73218496
AR,Antero Resources,Oil & Gas E&P,6738030930
ARAV,Aravive,Biotechnology,79026552
ARAY,Accuray,Medical Devices,350451588
ARBB,ARB IOT Group,Information Technology Services,70484000
ARBE,Arbe Robotics,Software - Infrastructure,216777389
ARBG,Aequi Acquisition,Shell Companies,96192112
ARBK,Argo Blockchain,Capital Markets,84097200
ARC,ARC Document Solutions,Specialty Business Services,142254012
ARCB,ArcBest,Trucking,2444207535
ARCC,Ares Capital,Asset Management,10390605327
ARCE,Arco Platform,Education & Training Services,836273954
ARCH,Arch Resources,Thermal Coal,2127726954
ARCO,Arcos Dorados Holdings,Restaurants,2209141665
ARCT,Arcturus Therapeutics Holdings,Biotechnology,779889680
ARDS,Aridis Pharmaceuticals,Biotechnology,9163685
ARDX,Ardelyx,Biotechnology,724881560
ARE,Alexandria Real Estate Equities,REIT - Office,20244368140
AREB,American Rebel Holdings,Footwear & Accessories,1969128
AREC,American Resources,Coking Coal,145477117
AREN,The Arena Group Holdings,Internet Content & Information,96356058
ARES,Ares Management,Asset Management,28692658808
ARGO,Argo Group International Holdings,Insurance - Property & Casualty,1042775675
ARGX,argenx SE,Biotechnology,21309679213
ARHS,Arhaus,Home Improvement Retail,1440749021
ARI,Apollo Commercial Real Estate Finance,REIT - Mortgage,1557599948
ARIS,Aris Water Solutions,Utilities - Regulated Water,967680460
ARIZ,Arisz Acquisition,Shell Companies,94354734
ARKO,Arko Corp.,Specialty Retail,958830850
ARKR,Ark Restaurants,Restaurants,66172378
ARL,American Realty Investors,Real Estate - Development,332085120
ARLO,Arlo Technologies,Security & Protection Services,1008424106
ARLP,Alliance Resource Partners,Thermal Coal,2428152550
ARMK,Aramark,Specialty Business Services,11044609081
ARMP,Armata Pharmaceuticals,Biotechnology,40843511
ARNC,Arconic,Metal Fabrication,2962567720
AROC,Archrock,Oil & Gas Equipment & Services,1557548380
AROW,Arrow Financial,Banks - Regional,329873388
ARQQ,Arqit Quantum,Software - Infrastructure,161407200
ARQT,Arcutis Biotherapeutics,Biotechnology,568156275
ARR,ARMOUR Residential REIT,REIT - Mortgage,1010802169
ARRW,Arrowroot Acquisition,Shell Companies,121335319
ARRY,Array Technologies,Solar,3282397879
ARTE,Artemis Strategic Investment,Shell Companies,266152596
ARTL,Artelo Biosciences,Biotechnology,5768494
ARTNA,Artesian Resources,Utilities - Regulated Water,483525554
ARTW,Art's-Way Manufacturing Co.,Farm & Heavy Construction Machinery,11720054
ARVL,Arrival,Auto Manufacturers,36389936
ARVN,Arvinas,Biotechnology,1217483520
ARW,Arrow Electronics,Electronics & Computer Distribution,8121902152
ARWR,Arrowhead Pharmaceuticals,Biotechnology,3561908000
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,84188234
ARYE,ARYA Sciences Acquisition Corp V,Shell Companies,199155870
ASA,ASA Gold and Precious Metals,Asset Management,286455015
ASAI,Sendas Distribuidora,Grocery Stores,3921140636
ASAN,Asana,Software - Application,4529787412
ASB,Associated Banc-Corp,Banks - Regional,2542513485
ASC,Ardmore Shipping,Marine Shipping,516028002
ASCA,A SPAC I Acquisition,Shell Companies,57470020
ASCB,A SPAC II Acquisition,Shell Companies,266662187
ASGN,ASGN Incorporated,Information Technology Services,3660525000
ASH,Ashland,Specialty Chemicals,4543254086
ASIX,AdvanSix,Chemicals,989844786
ASLE,AerSale,Airports & Air Services,715050744
ASLN,ASLAN Pharmaceuticals,Biotechnology,40704528
ASM,Avino Silver & Gold Mines,Other Precious Metals & Mining,82006160
ASMB,Assembly Biosciences,Biotechnology,56291004
ASML,ASML Holding,Semiconductor Equipment & Materials,274926647748
ASND,Ascendis Pharma,Biotechnology,4925593348
ASNS,Actelis Networks,Communication Equipment,5682532
ASO,Academy Sports and Outdoors,Specialty Retail,4234858845
ASPA,Abri SPAC I,Shell Companies,31861011
ASPI,ASP Isotopes,Chemicals,22476283
ASPN,Aspen Aerogels,Building Products & Equipment,562989724
ASPS,Altisource Portfolio Solutions,Real Estate Services,110942884
ASR,Grupo Aeroportuario del Sureste,Airports & Air Services,8533500000
ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,297258380
ASRV,AmeriServ Financial,Banks - Regional,44411507
ASST,Asset Entities,Internet Content & Information,23770140
ASTC,Astrotech,Aerospace & Defense,21770127
ASTE,Astec Industries,Farm & Heavy Construction Machinery,979282449
ASTI,Ascent Solar Technologies,Solar,5766915
ASTL,Algoma Steel Group,Steel,742582560
ASTR,Astra Space,Aerospace & Defense,98833904
ASTS,AST SpaceMobile,Telecom Services,903309646
ASUR,Asure Software,Software - Application,246444850
ASX,ASE Technology Holding Co.,Semiconductors,16298894879
ASXC,Asensus Surgical,Medical Devices,128029702
ASYS,Amtech Systems,Semiconductor Equipment & Materials,132458495
ATAI,Atai Life Sciences,Biotechnology,338660400
ATAK,Aurora Technology Acquisition,Shell Companies,113847462
ATAQ,Altimar Acquisition Corp. III,Shell Companies,80977973
ATAT,Atour Lifestyle Holdings,Lodging,2276225840
ATEC,Alphatec Holdings,Medical Devices,2036963430
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,125143200
ATEN,A10 Networks,Software - Infrastructure,1053301472
ATER,Aterian,Furnishings,45693957
ATEX,Anterix,Telecom Services,575086520
ATGE,Adtalem Global Education,Education & Training Services,1544201772
ATHA,Athira Pharma,Biotechnology,109555158
ATHE,Alterity Therapeutics,Biotechnology,11196061
ATHM,Autohome,Internet Content & Information,3641210100
ATHX,Athersys,Biotechnology,17740265
ATI,ATI Inc.,Metal Fabrication,5686963520
ATIF,ATIF Holdings,Capital Markets,14922548
ATIP,ATI Physical Therapy,Medical Care Facilities,35277439
ATKR,Atkore,Electrical Equipment & Parts,5691797317
ATLC,Atlanticus Holdings,Credit Services,590139360
ATLO,Ames National,Banks - Regional,164826476
ATLX,Atlas Lithium,Other Precious Metals & Mining,206814918
ATMC,AlphaTime Acquisition,Shell Companies,90707317.323
ATMU,Atmus Filtration Technologies,Pollution & Treatment Controls,1900022818
ATMV,AlphaVest Acquisition,Shell Companies,2007169.5
ATNF,180 Life Sciences,Biotechnology,6111459
ATNI,ATN International,Telecom Services,565487898
ATNM,Actinium Pharmaceuticals,Biotechnology,190414658
ATO,Atmos Energy,Utilities - Regulated Gas,16949770908
ATOM,Atomera,Semiconductor Equipment & Materials,218530890
ATOS,Atossa Therapeutics,Biotechnology,156961007
ATR,AptarGroup,Medical Instruments & Supplies,7455680106
ATRA,Atara Biotherapeutics,Biotechnology,181248570
ATRC,AtriCure,Medical Instruments & Supplies,2283692782
